Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6072318,The Winds of Dune (Heroes of Dune #2),Brian Herbert,"Herbert, Brian",Kevin J. Anderson,"=""0765322722""","=""9780765322722""",4,3.79,Tor Books,Hardcover,448,2009,2009,2019/07/21,2019/06/29,,,read,,,,1,,,0,,,,,
33124137,Pet Sematary,Stephen King,"King, Stephen",,"=""""","=""""",5,4.03,Scribner,Kindle Edition,580,2014,1983,2019/06/29,2019/06/16,,,read,,,,1,,,0,,,,,
25877663,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,"Corey, James S.A.",,"=""0356504263""","=""9780356504261""",3,4.23,Orbit,Hardcover,538,2016,2016,2019/06/16,2019/05/21,,,read,,,,1,,,0,,,,,
184657,"Memorial Day (Mitch Rapp, #7)",Vince Flynn,"Flynn, Vince",,"=""1416548009""","=""9781416548003""",4,4.31,Pocket Books,Paperback,574,2007,2004,2019/05/21,2019/04/21,,,read,,,,1,,,0,,,,,
13521459,"Red Country (First Law World, #6)",Joe Abercrombie,"Abercrombie, Joe",,"=""0316214442""","=""9780316214445""",5,4.31,Orbit,ebook,469,2012,2012,2019/04/20,2019/03/27,,,read,An epic stroke for the brilliantly written series!,,,1,,,0,,,,,
36595101,Fire and Fury: Inside the Trump White House,Michael Wolff,"Wolff, Michael",,"=""1250158060""","=""9781250158062""",3,3.44,Henry Holt & Company,Hardcover,322,2018,2018,2019/03/27,2019/03/10,,,read,,,,1,,,0,,,,,
28962996,Six Wakes,Mur Lafferty,"Lafferty, Mur",,"=""0316389684""","=""9780316389686""",4,3.83,Orbit,Paperback,364,2017,2017,2019/03/10,2019/02/27,,,read,,,,1,,,0,,,,,
830502,It,Stephen King,"King, Stephen",,"=""0450411435""","=""9780450411434""",5,4.25,New English Library,Paperback,1116,1987,1986,2019/02/27,2019/01/24,,,read,,,,1,,,0,,,,,
2920001,Paul of Dune (Heroes of Dune #1),Brian Herbert,"Herbert, Brian",Kevin J. Anderson,"=""0765312948""","=""9780765312945""",4,3.72,Tor Books,Hardcover,512,2008,2008,2019/01/24,2019/01/06,,,read,,,,1,,,0,,,,,
624023,Parasite Eve,Hideaki Sena,"Sena, Hideaki",Tyran Grillo,"=""1932234195""","=""9781932234190""",0,3.60,Vertical,Hardcover,320,2005,1994,,2018/12/30,,,read,,,,1,,,0,,,,,
777211,"Executive Power (Mitch Rapp, #6)",Vince Flynn,"Flynn, Vince",,"=""0743453964""","=""9780743453967""",4,4.31,Pocket Star Books,Paperback,512,2004,2003,2018/12/22,2018/12/05,,,read,,,,1,,,0,,,,,
9300768,"The Heroes (First Law World, #5)",Joe Abercrombie,"Abercrombie, Joe",,"=""0316123358""","=""9780316123358""",4,4.31,Orbit,ebook,581,2011,2011,2018/12/05,2018/11/07,,,read,,,,1,,,0,,,,,
8669613,"Never Deal with a Dragon (Shadowrun: Secrets of Power, #1)",Robert N. Charrette,"Charrette, Robert N.",,"=""""","=""""",2,3.72,Catalyst Game Labs,Kindle Edition,419,2010,1990,2018/10/25,2018/10/13,,,read,,,,1,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",4,4.34,Doubleday Books,Hardcover,1152,1990,1978,2018/10/13,2018/08/28,,,read,,,,1,,,0,,,,,
